tanggal,kategori,nama_produk,kuantitas,harga_modal,pemasukan,pengeluaran,jenis_pengeluaran,jumlah_pelanggan,catatan
2025-09-20,Lainnya,Pulsa Elektrik,5,0,95935,23917,operasional,4,Stok gas habis siang
2025-09-21,Jasa,Laundry Kiloan,3,3022,21636,4882552,modal,2,Beli mesin cuci baru
2025-09-22,Retail,Tas Selempang,1,32132,73967,20307,operasional,1,Promo beli 2 gratis 1
2025-09-23,Lainnya,Gas Elpiji 3kg,17,15654,369273,124383,operasional,10,Stok gas habis siang
2025-09-24,Makanan & Minuman,Jus Alpukat,5,5202,51138,11229,operasional,2,Ramai sekali hari ini
2025-09-25,Jasa,Cuci Mobil,5,13894,224354,70523,operasional,4,
2025-09-26,Lainnya,Rokok Eceran,5,2648,14188,6294,operasional,3,Hari biasa
2025-09-27,Jasa,Jahit Baju,2,15597,104537,2153356,modal,1,Service mesin utama
2025-09-28,Retail,Tas Selempang,15,36925,1166756,458442,operasional,14,Normal penjualan
2025-09-29,Makanan & Minuman,Indomie Telur,6,3495,45337,2265237,modal,5,Beli freezer bekas
2025-09-30,Retail,Topi Snapback,2,20242,84678,22227,operasional,1,
2025-10-01,Jasa,Laundry Kiloan,7,2916,41653,18926,operasional,4,
2025-10-02,Jasa,Service HP,8,30726,879819,204109,operasional,6,
2025-10-03,Jasa,Service Motor Ringan,8,24172,667666,160772,operasional,4,Pelanggan baru datang
2025-10-04,Jasa,Cuci Motor,5,5030,98373,23545,operasional,4,Banyak service hari ini
2025-10-05,Lainnya,Bensin Eceran,10,8389,108376,35241,operasional,6,
2025-10-06,Lainnya,Rokok Eceran,16,2483,50259,22712,operasional,10,
2025-10-07,Jasa,Service HP,8,31684,755260,194501,operasional,6,
2025-10-08,Jasa,Jahit Baju,9,16227,479920,165236,operasional,6,Repeat order dari langganan
2025-10-09,Retail,Tas Selempang,10,33586,827881,3767629,modal,9,Beli mannequin display
2025-10-10,Jasa,Service HP,10,32325,1000918,272822,operasional,8,Banyak service hari ini
2025-10-11,Retail,Topi Snapback,13,21510,520803,218430,operasional,11,Sepi hari kerja
2025-10-12,Retail,Kaus Sablon Custom,11,24559,640115,140263,operasional,9,Stok model baru datang
2025-10-13,Lainnya,Pulsa Elektrik,13,0,157972,4650067,modal,11,Beli etalase kecil
2025-10-14,Makanan & Minuman,Pisang Goreng Keju,23,2790,182485,67387,operasional,15,Orderan GoFood membludak
2025-10-15,Lainnya,Bensin Eceran,16,8041,139724,30301,operasional,11,
2025-10-16,Makanan & Minuman,Indomie Telur,39,3247,310325,2308645,modal,24,Beli freezer bekas
2025-10-17,Retail,Sandal Jepit Premium,9,12985,194733,73388,operasional,5,Promo beli 2 gratis 1
2025-10-18,Lainnya,Pulsa Elektrik,8,0,72703,14809,operasional,4,Normal seperti biasa
2025-10-19,Makanan & Minuman,Gorengan Campur,9,1822,41277,11025,operasional,5,Ramai sekali hari ini
2025-10-20,Makanan & Minuman,Jus Alpukat,22,5405,291773,3949748,modal,19,Beli freezer bekas
2025-10-21,Lainnya,Pulsa Elektrik,4,0,195743,78079,operasional,3,Stok gas habis siang
2025-10-22,Retail,Sandal Jepit Premium,5,12954,134782,45258,operasional,3,
2025-10-23,Lainnya,Bensin Eceran,6,8809,68841,27295,operasional,4,
2025-10-24,Makanan & Minuman,Roti Bakar Coklat,35,4378,356536,92646,operasional,21,
