tanggal,kategori,nama_produk,kuantitas,hpp,pemasukan,pengeluaran,jenis_pengeluaran,jumlah_pelanggan,catatan
2025-12-26,E-Commerce,Makaroni Bantet Balado,2,6000,24000,0,,3,Sales E-Commerce
2025-12-26,E-Commerce,Seblak Kering Original,1,8500,16000,0,,2,Beli Langsung
2025-12-26,Pesanan Grosir,Keripik Singkong Balado,1,8000,15000,0,,3,Beli Langsung
2025-12-26,E-Commerce,Kacang Umpet Karamel,10,11000,200000,0,,3,Beli Langsung
2025-12-27,Bahan Baku (Bogor),,0,0,0,101768,operasional,0,Bayar Bahan Baku (Bogor)
2025-12-28,E-Commerce,Basreng Original Gurih,4,12000,80000,0,,3,Sales E-Commerce
2025-12-28,E-Commerce,Seblak Kering Pedas,10,8500,160000,0,,1,Sales E-Commerce
2025-12-29,Penjualan B2C,Sus Kering Cokelat Lumer,2,15000,50000,0,,2,Beli Langsung
2025-12-29,Penjualan B2C,Kacang Umpet Karamel,3,11000,60000,0,,2,Sales E-Commerce
2025-12-29,E-Commerce,Basreng Pedas Daun Jeruk,8,12000,160000,0,,1,Beli Langsung
2025-12-29,Penjualan B2C,Sus Kering Cokelat Lumer,5,15000,125000,0,,1,Beli Langsung
2025-12-29,Penjualan B2C,Keripik Kaca Original,15,10000,270000,0,,3,Sales E-Commerce
2025-12-30,E-Commerce,Makaroni Bantet Balado,4,6000,48000,0,,2,Sales E-Commerce
2025-12-30,Pesanan Grosir,Usus Crispy Original,3,14000,66000,0,,1,Beli Langsung
2025-12-30,Penjualan B2C,Stik Keju Premium,15,13000,360000,0,,2,Beli Langsung
2025-12-31,Penjualan B2C,Pilus Cikur Pedas,10,7000,140000,0,,3,Beli Langsung
2025-12-31,Pesanan Grosir,Basreng Pedas Daun Jeruk,15,12000,300000,0,,2,Sales E-Commerce
2026-01-01,E-Commerce,Basreng Original Gurih,3,12000,60000,0,,3,Sales E-Commerce
2026-01-01,Pesanan Grosir,Makaroni Keju Premium,4,7500,60000,0,,2,Sales E-Commerce
2026-01-01,Pesanan Grosir,Peyek Kacang Mini,3,8000,45000,0,,3,Sales E-Commerce
2026-01-01,Penjualan B2C,Keripik Singkong Balado,9,8000,135000,0,,1,Beli Langsung
2026-01-01,Penjualan B2C,Keripik Singkong Balado,3,8000,45000,0,,2,Beli Langsung
2026-01-02,Pesanan Grosir,Basreng Pedas Daun Jeruk,5,12000,100000,0,,2,Beli Langsung
2026-01-02,E-Commerce,Seblak Kering Original,6,8500,96000,0,,1,Sales E-Commerce
2026-01-03,Pesanan Grosir,Mie Lidi Pedas Level 5,10,5000,100000,0,,1,Beli Langsung
2026-01-03,Penjualan B2C,Makaroni Keju Premium,2,7500,30000,0,,1,Sales E-Commerce
2026-01-03,E-Commerce,Usus Crispy Original,3,14000,66000,0,,1,Sales E-Commerce
2026-01-03,Pesanan Grosir,Basreng Pedas Daun Jeruk,10,12000,200000,0,,2,Sales E-Commerce
2026-01-03,Lainnya,,0,0,0,120451,lainnya,0,Bayar Lainnya
2026-01-04,Penjualan B2C,Keripik Kaca Pedas Nampol,6,10000,108000,0,,3,Beli Langsung
2026-01-04,Pesanan Grosir,Mie Lidi Jagung Bakar,3,5000,30000,0,,1,Beli Langsung
2026-01-04,Penjualan B2C,Peyek Kacang Mini,6,8000,90000,0,,1,Beli Langsung
2026-01-04,E-Commerce,Emping Pedas Manis,3,18000,90000,0,,2,Sales E-Commerce
2026-01-05,E-Commerce,Keripik Singkong Balado,5,8000,75000,0,,3,Beli Langsung
2026-01-05,Pesanan Grosir,Seblak Kering Pedas,3,8500,48000,0,,3,Beli Langsung
2026-01-05,Penjualan B2C,Pilus Cikur Pedas,9,7000,126000,0,,2,Beli Langsung
2026-01-05,Penjualan B2C,Seblak Kering Original,12,8500,192000,0,,3,Sales E-Commerce
2026-01-06,Penjualan B2C,Basreng Pedas Daun Jeruk,6,12000,120000,0,,1,Sales E-Commerce
