tanggal,kategori,nama_produk,kuantitas,hpp,pemasukan,pengeluaran,jenis_pengeluaran,jumlah_pelanggan,catatan
2025-12-26,E-Commerce,Keripik Singkong Balado,2,8000,30000,0,,1,Sales E-Commerce
2025-12-26,Penjualan B2C,Kacang Umpet Karamel,1,11000,20000,0,,2,Sales E-Commerce
2025-12-26,Pesanan Grosir,Basreng Pedas Daun Jeruk,6,12000,120000,0,,1,Sales E-Commerce
2025-12-26,Penjualan B2C,Keripik Singkong Original,2,8000,30000,0,,3,Sales E-Commerce
2025-12-27,Penjualan B2C,Mie Lidi Jagung Bakar,9,5000,90000,0,,3,Beli Langsung
2025-12-27,Penjualan B2C,Stik Keju Premium,4,13000,96000,0,,3,Beli Langsung
2025-12-27,Pesanan Grosir,Basreng Pedas Daun Jeruk,2,12000,40000,0,,2,Sales E-Commerce
2025-12-27,Listrik & Air,,0,0,0,474115,operasional,0,Bayar Listrik & Air
2025-12-28,Penjualan B2C,Pilus Cikur Pedas,1,7000,14000,0,,2,Sales E-Commerce
2025-12-29,E-Commerce,Basreng Pedas Daun Jeruk,3,12000,60000,0,,3,Sales E-Commerce
2025-12-29,Penjualan B2C,Pilus Cikur Pedas,8,7000,112000,0,,1,Beli Langsung
2025-12-29,E-Commerce,Keripik Kaca Original,3,10000,54000,0,,3,Sales E-Commerce
2025-12-29,Pesanan Grosir,Peyek Kacang Mini,2,8000,30000,0,,1,Sales E-Commerce
2025-12-29,E-Commerce,Makaroni Keju Premium,1,7500,15000,0,,2,Beli Langsung
2025-12-31,Pesanan Grosir,Mie Lidi Pedas Level 5,2,5000,20000,0,,2,Sales E-Commerce
2026-01-02,Penjualan B2C,Peyek Kacang Mini,4,8000,60000,0,,3,Beli Langsung
2026-01-03,Penjualan B2C,Seblak Kering Original,3,8500,48000,0,,3,Sales E-Commerce
2026-01-03,E-Commerce,Emping Pedas Manis,2,18000,60000,0,,3,Beli Langsung
2026-01-03,Penjualan B2C,Usus Crispy Balado,2,14000,44000,0,,1,Beli Langsung
2026-01-03,Penjualan B2C,Basreng Pedas Daun Jeruk,3,12000,60000,0,,3,Sales E-Commerce
2026-01-03,Penjualan B2C,Basreng Original Gurih,3,12000,60000,0,,1,Sales E-Commerce
2026-01-03,Bahan Kemasan (Pouch),,0,0,0,414785,modal,0,Restok Bahan Kemasan (Pouch)
2026-01-04,Bahan Baku (Bogor),,0,0,0,291047,operasional,0,Bayar Bahan Baku (Bogor)
2026-01-05,Penjualan B2C,Makaroni Keju Premium,10,7500,150000,0,,3,Sales E-Commerce
2026-01-05,Penjualan B2C,Mie Lidi Jagung Bakar,15,5000,150000,0,,2,Beli Langsung
2026-01-05,Biaya Iklan,,0,0,0,257427,operasional,0,Bayar Biaya Iklan
2026-01-06,Penjualan B2C,Usus Crispy Balado,3,14000,66000,0,,1,Sales E-Commerce
2026-01-06,Bahan Baku (Bogor),,0,0,0,562623,operasional,0,Bayar Bahan Baku (Bogor)
2026-01-08,Listrik & Air,,0,0,0,332692,operasional,0,Bayar Listrik & Air
2026-01-09,E-Commerce,Sus Kering Cokelat Lumer,8,15000,200000,0,,3,Beli Langsung
2026-01-09,Penjualan B2C,Makaroni Keju Premium,4,7500,60000,0,,1,Sales E-Commerce
2026-01-10,E-Commerce,Basreng Pedas Daun Jeruk,12,12000,240000,0,,3,Sales E-Commerce
2026-01-10,Penjualan B2C,Keripik Kaca Original,6,10000,108000,0,,1,Beli Langsung
2026-01-10,Penjualan B2C,Seblak Kering Original,12,8500,192000,0,,3,Beli Langsung
2026-01-10,Pesanan Grosir,Mie Lidi Pedas Level 5,3,5000,30000,0,,2,Beli Langsung
2026-01-10,Penjualan B2C,Usus Crispy Balado,4,14000,88000,0,,1,Sales E-Commerce
2026-01-10,Bahan Baku (Bogor),,0,0,0,394691,operasional,0,Bayar Bahan Baku (Bogor)
2026-01-11,E-Commerce,Emping Pedas Manis,10,18000,300000,0,,3,Beli Langsung
2026-01-11,Penjualan B2C,Makaroni Bantet Balado,2,6000,24000,0,,3,Sales E-Commerce
2026-01-12,E-Commerce,Usus Crispy Original,8,14000,176000,0,,2,Sales E-Commerce
2026-01-12,E-Commerce,Usus Crispy Balado,3,14000,66000,0,,3,Sales E-Commerce
2026-01-12,E-Commerce,Keripik Singkong Balado,10,8000,150000,0,,3,Sales E-Commerce
2026-01-13,Biaya Iklan,,0,0,0,329669,operasional,0,Bayar Biaya Iklan
2026-01-14,Pesanan Grosir,Usus Crispy Original,8,14000,176000,0,,3,Beli Langsung
2026-01-14,Pesanan Grosir,Makaroni Bantet Balado,15,6000,180000,0,,2,Beli Langsung
2026-01-14,Lainnya,,0,0,0,485585,lainnya,0,Bayar Lainnya
2026-01-15,Pesanan Grosir,Sus Kering Cokelat Lumer,5,15000,125000,0,,1,Sales E-Commerce
2026-01-15,Penjualan B2C,Mie Lidi Pedas Level 5,3,5000,30000,0,,3,Sales E-Commerce
2026-01-15,Penjualan B2C,Usus Crispy Original,2,14000,44000,0,,3,Beli Langsung
2026-01-15,E-Commerce,Keripik Singkong Balado,12,8000,180000,0,,3,Sales E-Commerce
2026-01-16,Penjualan B2C,Mie Lidi Pedas Level 5,6,5000,60000,0,,1,Beli Langsung
2026-01-16,E-Commerce,Seblak Kering Pedas,12,8500,192000,0,,2,Sales E-Commerce
2026-01-16,Pesanan Grosir,Keripik Kaca Pedas Nampol,10,10000,180000,0,,1,Beli Langsung
2026-01-17,Listrik & Air,,0,0,0,315971,operasional,0,Bayar Listrik & Air
2026-01-18,E-Commerce,Kacang Umpet Karamel,4,11000,80000,0,,2,Beli Langsung
2026-01-18,Pesanan Grosir,Stik Keju Premium,12,13000,288000,0,,3,Beli Langsung
2026-01-18,Pesanan Grosir,Basreng Pedas Daun Jeruk,10,12000,200000,0,,1,Beli Langsung
2026-01-18,Bahan Baku (Bogor),,0,0,0,360796,operasional,0,Bayar Bahan Baku (Bogor)
2026-01-19,Penjualan B2C,Seblak Kering Original,5,8500,80000,0,,3,Beli Langsung
2026-01-19,Penjualan B2C,Mie Lidi Pedas Level 5,3,5000,30000,0,,1,Sales E-Commerce
2026-01-19,Penjualan B2C,Keripik Singkong Original,4,8000,60000,0,,1,Beli Langsung
2026-01-20,E-Commerce,Usus Crispy Original,5,14000,110000,0,,3,Sales E-Commerce
2026-01-21,Pesanan Grosir,Usus Crispy Original,6,14000,132000,0,,1,Beli Langsung
2026-01-22,Penjualan B2C,Makaroni Bantet Balado,10,6000,120000,0,,3,Beli Langsung
2026-01-22,Pesanan Grosir,Basreng Pedas Daun Jeruk,3,12000,60000,0,,3,Sales E-Commerce
2026-01-22,Penjualan B2C,Basreng Original Gurih,2,12000,40000,0,,3,Beli Langsung
2026-01-23,Lainnya,,0,0,0,371383,lainnya,0,Bayar Lainnya
2026-01-24,Penjualan B2C,Seblak Kering Original,9,8500,144000,0,,1,Sales E-Commerce
2026-01-24,Pesanan Grosir,Basreng Pedas Daun Jeruk,15,12000,300000,0,,2,Beli Langsung
2026-01-24,Bahan Baku (Bogor),,0,0,0,295247,operasional,0,Bayar Bahan Baku (Bogor)
2026-01-25,E-Commerce,Seblak Kering Pedas,3,8500,48000,0,,2,Beli Langsung
2026-01-25,E-Commerce,Keripik Singkong Original,4,8000,60000,0,,3,Sales E-Commerce
2026-01-26,Penjualan B2C,Basreng Pedas Daun Jeruk,3,12000,60000,0,,3,Sales E-Commerce
2026-01-26,Penjualan B2C,Seblak Kering Original,3,8500,48000,0,,1,Beli Langsung
2026-01-26,Biaya Iklan,,0,0,0,283566,operasional,0,Bayar Biaya Iklan
2026-01-27,Penjualan B2C,Usus Crispy Balado,5,14000,110000,0,,2,Sales E-Commerce
2026-01-27,Bahan Kemasan (Pouch),,0,0,0,340917,modal,0,Restok Bahan Kemasan (Pouch)
2026-01-28,Penjualan B2C,Emping Pedas Manis,2,18000,60000,0,,1,Beli Langsung
2026-01-28,E-Commerce,Keripik Singkong Original,3,8000,45000,0,,3,Sales E-Commerce
2026-01-28,E-Commerce,Keripik Singkong Balado,2,8000,30000,0,,1,Sales E-Commerce
2026-01-28,Pesanan Grosir,Usus Crispy Original,9,14000,198000,0,,3,Sales E-Commerce
2026-01-28,Bahan Baku (Bogor),,0,0,0,481770,operasional,0,Bayar Bahan Baku (Bogor)
2026-01-30,Penjualan B2C,Stik Keju Premium,3,13000,72000,0,,3,Beli Langsung
2026-01-30,Pesanan Grosir,Keripik Kaca Pedas Nampol,3,10000,54000,0,,3,Sales E-Commerce
2026-01-30,Pesanan Grosir,Sus Kering Cokelat Lumer,9,15000,225000,0,,3,Beli Langsung
2026-01-30,Bahan Kemasan (Pouch),,0,0,0,298925,modal,0,Restok Bahan Kemasan (Pouch)
2026-01-31,E-Commerce,Mie Lidi Jagung Bakar,2,5000,20000,0,,3,Beli Langsung
2026-01-31,Penjualan B2C,Emping Pedas Manis,4,18000,120000,0,,1,Beli Langsung
2026-01-31,Bahan Kemasan (Pouch),,0,0,0,452394,modal,0,Restok Bahan Kemasan (Pouch)
2026-02-01,E-Commerce,Peyek Kacang Mini,9,8000,135000,0,,3,Beli Langsung
2026-02-01,E-Commerce,Seblak Kering Pedas,6,8500,96000,0,,2,Beli Langsung
2026-02-02,Penjualan B2C,Keripik Kaca Original,10,10000,180000,0,,1,Sales E-Commerce
2026-02-02,E-Commerce,Mie Lidi Jagung Bakar,15,5000,150000,0,,3,Beli Langsung
2026-02-02,Pesanan Grosir,Usus Crispy Balado,5,14000,110000,0,,3,Beli Langsung
2026-02-03,Penjualan B2C,Kacang Umpet Karamel,1,11000,20000,0,,3,Sales E-Commerce
2026-02-03,E-Commerce,Usus Crispy Original,4,14000,88000,0,,1,Beli Langsung
2026-02-03,Bahan Baku (Bogor),,0,0,0,292775,operasional,0,Bayar Bahan Baku (Bogor)
2026-02-04,Penjualan B2C,Keripik Singkong Balado,2,8000,30000,0,,3,Sales E-Commerce
2026-02-04,Penjualan B2C,Basreng Original Gurih,3,12000,60000,0,,3,Beli Langsung
2026-02-04,E-Commerce,Mie Lidi Pedas Level 5,8,5000,80000,0,,3,Sales E-Commerce
2026-02-04,Biaya Iklan,,0,0,0,250099,operasional,0,Bayar Biaya Iklan
2026-02-05,Penjualan B2C,Stik Keju Premium,3,13000,72000,0,,1,Beli Langsung
2026-02-05,E-Commerce,Stik Keju Premium,9,13000,216000,0,,1,Beli Langsung
2026-02-05,Penjualan B2C,Kacang Umpet Karamel,1,11000,20000,0,,1,Beli Langsung
2026-02-06,Penjualan B2C,Mie Lidi Pedas Level 5,4,5000,40000,0,,3,Sales E-Commerce
2026-02-06,Pesanan Grosir,Pilus Cikur Pedas,2,7000,28000,0,,2,Beli Langsung
2026-02-07,Biaya Iklan,,0,0,0,416600,operasional,0,Bayar Biaya Iklan
2026-02-08,Pesanan Grosir,Basreng Original Gurih,3,12000,60000,0,,2,Sales E-Commerce
2026-02-08,E-Commerce,Basreng Pedas Daun Jeruk,2,12000,40000,0,,1,Beli Langsung
2026-02-08,E-Commerce,Basreng Pedas Daun Jeruk,15,12000,300000,0,,2,Sales E-Commerce
2026-02-08,Lainnya,,0,0,0,372814,lainnya,0,Bayar Lainnya
2026-02-09,Pesanan Grosir,Peyek Kacang Mini,2,8000,30000,0,,1,Sales E-Commerce
2026-02-09,Pesanan Grosir,Sus Kering Cokelat Lumer,4,15000,100000,0,,3,Sales E-Commerce
2026-02-09,Bahan Baku (Bogor),,0,0,0,283809,operasional,0,Bayar Bahan Baku (Bogor)
2026-02-10,Pesanan Grosir,Emping Pedas Manis,9,18000,270000,0,,1,Beli Langsung
2026-02-10,Pesanan Grosir,Mie Lidi Pedas Level 5,12,5000,120000,0,,2,Sales E-Commerce
2026-02-10,Pesanan Grosir,Pilus Cikur Pedas,6,7000,84000,0,,1,Beli Langsung
2026-02-10,Biaya Iklan,,0,0,0,501751,operasional,0,Bayar Biaya Iklan
2026-02-12,E-Commerce,Makaroni Bantet Balado,9,6000,108000,0,,2,Beli Langsung
2026-02-12,Pesanan Grosir,Keripik Kaca Original,2,10000,36000,0,,2,Sales E-Commerce
2026-02-12,Bahan Baku (Bogor),,0,0,0,533292,operasional,0,Bayar Bahan Baku (Bogor)
2026-02-13,Penjualan B2C,Usus Crispy Original,5,14000,110000,0,,2,Sales E-Commerce
2026-02-13,Lainnya,,0,0,0,518624,lainnya,0,Bayar Lainnya
2026-02-14,Pesanan Grosir,Seblak Kering Pedas,15,8500,240000,0,,3,Beli Langsung
2026-02-15,Pesanan Grosir,Keripik Kaca Pedas Nampol,5,10000,90000,0,,1,Sales E-Commerce
2026-02-15,E-Commerce,Pilus Cikur Pedas,6,7000,84000,0,,2,Sales E-Commerce
2026-02-15,Pesanan Grosir,Pilus Cikur Pedas,8,7000,112000,0,,2,Beli Langsung
2026-02-16,Penjualan B2C,Mie Lidi Pedas Level 5,10,5000,100000,0,,3,Beli Langsung
