tanggal,kategori,nama_produk,kuantitas,hpp,pemasukan,pengeluaran,jenis_pengeluaran,jumlah_pelanggan,catatan
2025-12-28,Pesanan Grosir,Seblak Kering Original,8,8500,128000,0,,2,Sales E-Commerce
2025-12-28,Bahan Baku (Bogor),,0,0,0,223007,operasional,0,Bayar Bahan Baku (Bogor)
2025-12-29,Penjualan B2C,Mie Lidi Pedas Level 5,3,5000,30000,0,,3,Beli Langsung
2025-12-29,Pesanan Grosir,Pilus Cikur Pedas,9,7000,126000,0,,2,Beli Langsung
2025-12-29,Biaya Iklan,,0,0,0,104173,operasional,0,Bayar Biaya Iklan
2025-12-30,Pesanan Grosir,Makaroni Bantet Balado,15,6000,180000,0,,2,Beli Langsung
2025-12-30,Penjualan B2C,Makaroni Bantet Balado,3,6000,36000,0,,1,Sales E-Commerce
2025-12-30,Lainnya,,0,0,0,277346,lainnya,0,Bayar Lainnya
2025-12-31,Pesanan Grosir,Kacang Umpet Karamel,9,11000,180000,0,,3,Sales E-Commerce
2025-12-31,Penjualan B2C,Keripik Singkong Original,4,8000,60000,0,,1,Sales E-Commerce
2026-01-01,Pesanan Grosir,Mie Lidi Pedas Level 5,3,5000,30000,0,,3,Beli Langsung
2026-01-01,Bahan Kemasan (Pouch),,0,0,0,169776,modal,0,Restok Bahan Kemasan (Pouch)
2026-01-02,E-Commerce,Seblak Kering Original,3,8500,48000,0,,2,Beli Langsung
2026-01-02,Biaya Iklan,,0,0,0,169818,operasional,0,Bayar Biaya Iklan
2026-01-03,Pesanan Grosir,Mie Lidi Pedas Level 5,8,5000,80000,0,,1,Sales E-Commerce
2026-01-04,E-Commerce,Makaroni Keju Premium,10,7500,150000,0,,3,Sales E-Commerce
2026-01-07,Pesanan Grosir,Usus Crispy Balado,4,14000,88000,0,,2,Beli Langsung
2026-01-07,E-Commerce,Mie Lidi Pedas Level 5,8,5000,80000,0,,1,Beli Langsung
2026-01-08,Penjualan B2C,Keripik Singkong Original,4,8000,60000,0,,3,Beli Langsung
2026-01-08,Bahan Baku (Bogor),,0,0,0,243335,operasional,0,Bayar Bahan Baku (Bogor)
2026-01-09,Penjualan B2C,Keripik Kaca Pedas Nampol,12,10000,216000,0,,3,Sales E-Commerce
2026-01-09,Biaya Iklan,,0,0,0,157537,operasional,0,Bayar Biaya Iklan
2026-01-10,Bahan Kemasan (Pouch),,0,0,0,182260,modal,0,Restok Bahan Kemasan (Pouch)
2026-01-11,Pesanan Grosir,Sus Kering Cokelat Lumer,5,15000,125000,0,,3,Sales E-Commerce
2026-01-11,E-Commerce,Makaroni Bantet Balado,1,6000,12000,0,,2,Beli Langsung
2026-01-12,E-Commerce,Mie Lidi Pedas Level 5,8,5000,80000,0,,1,Sales E-Commerce
2026-01-12,E-Commerce,Sus Kering Cokelat Lumer,8,15000,200000,0,,3,Beli Langsung
2026-01-12,Pesanan Grosir,Usus Crispy Original,6,14000,132000,0,,1,Beli Langsung
2026-01-13,Pesanan Grosir,Stik Keju Premium,2,13000,48000,0,,2,Beli Langsung
2026-01-13,Pesanan Grosir,Stik Keju Premium,10,13000,240000,0,,3,Beli Langsung
2026-01-14,Lainnya,,0,0,0,243153,lainnya,0,Bayar Lainnya
2026-01-15,Pesanan Grosir,Kacang Umpet Karamel,4,11000,80000,0,,1,Beli Langsung
2026-01-15,Pesanan Grosir,Peyek Kacang Mini,2,8000,30000,0,,1,Beli Langsung
2026-01-16,E-Commerce,Seblak Kering Original,6,8500,96000,0,,2,Sales E-Commerce
2026-01-16,E-Commerce,Emping Pedas Manis,12,18000,360000,0,,1,Sales E-Commerce
2026-01-16,Penjualan B2C,Keripik Singkong Balado,3,8000,45000,0,,2,Sales E-Commerce
2026-01-16,Lainnya,,0,0,0,120295,lainnya,0,Bayar Lainnya
2026-01-17,Penjualan B2C,Keripik Singkong Original,4,8000,60000,0,,2,Sales E-Commerce
2026-01-17,E-Commerce,Kacang Umpet Karamel,1,11000,20000,0,,2,Sales E-Commerce
2026-01-18,E-Commerce,Seblak Kering Original,5,8500,80000,0,,3,Beli Langsung
2026-01-18,Pesanan Grosir,Stik Keju Premium,3,13000,72000,0,,1,Sales E-Commerce
2026-01-19,Pesanan Grosir,Seblak Kering Original,10,8500,160000,0,,3,Beli Langsung
2026-01-19,Pesanan Grosir,Makaroni Keju Premium,5,7500,75000,0,,3,Beli Langsung
2026-01-19,Gaji Pegawai,,0,0,0,203432,operasional,0,Bayar Gaji Pegawai
2026-01-20,Pesanan Grosir,Sus Kering Cokelat Lumer,6,15000,150000,0,,2,Beli Langsung
2026-01-20,Bahan Kemasan (Pouch),,0,0,0,149765,modal,0,Restok Bahan Kemasan (Pouch)
2026-01-22,Bahan Kemasan (Pouch),,0,0,0,245182,modal,0,Restok Bahan Kemasan (Pouch)
2026-01-23,E-Commerce,Seblak Kering Pedas,6,8500,96000,0,,3,Beli Langsung
2026-01-23,Penjualan B2C,Basreng Original Gurih,2,12000,40000,0,,3,Sales E-Commerce
2026-01-23,E-Commerce,Usus Crispy Original,4,14000,88000,0,,2,Sales E-Commerce
2026-01-24,Penjualan B2C,Mie Lidi Jagung Bakar,9,5000,90000,0,,3,Beli Langsung
2026-01-24,Penjualan B2C,Makaroni Keju Premium,6,7500,90000,0,,1,Sales E-Commerce
2026-01-27,Penjualan B2C,Peyek Kacang Mini,8,8000,120000,0,,2,Sales E-Commerce
2026-01-27,E-Commerce,Keripik Singkong Balado,3,8000,45000,0,,2,Beli Langsung
2026-01-27,Pesanan Grosir,Keripik Singkong Balado,6,8000,90000,0,,2,Beli Langsung
2026-01-27,Bahan Baku (Bogor),,0,0,0,176466,operasional,0,Bayar Bahan Baku (Bogor)
2026-01-28,E-Commerce,Peyek Kacang Mini,10,8000,150000,0,,1,Beli Langsung
2026-01-28,Penjualan B2C,Basreng Original Gurih,4,12000,80000,0,,2,Beli Langsung
2026-01-31,Pesanan Grosir,Peyek Kacang Mini,9,8000,135000,0,,2,Sales E-Commerce
2026-01-31,Penjualan B2C,Kacang Umpet Karamel,3,11000,60000,0,,1,Beli Langsung
2026-01-31,Penjualan B2C,Pilus Cikur Pedas,6,7000,84000,0,,3,Beli Langsung
2026-02-01,Penjualan B2C,Keripik Singkong Original,3,8000,45000,0,,2,Sales E-Commerce
2026-02-01,Pesanan Grosir,Makaroni Keju Premium,2,7500,30000,0,,1,Sales E-Commerce
2026-02-01,Bahan Kemasan (Pouch),,0,0,0,174748,modal,0,Restok Bahan Kemasan (Pouch)
2026-02-02,Pesanan Grosir,Keripik Kaca Original,5,10000,90000,0,,1,Beli Langsung
2026-02-03,Pesanan Grosir,Seblak Kering Original,9,8500,144000,0,,1,Sales E-Commerce
2026-02-03,Pesanan Grosir,Pilus Cikur Pedas,4,7000,56000,0,,2,Sales E-Commerce
2026-02-03,Bahan Baku (Bogor),,0,0,0,163759,operasional,0,Bayar Bahan Baku (Bogor)
2026-02-04,E-Commerce,Keripik Kaca Pedas Nampol,4,10000,72000,0,,1,Sales E-Commerce
2026-02-04,Pesanan Grosir,Makaroni Bantet Balado,6,6000,72000,0,,3,Beli Langsung
2026-02-04,Listrik & Air,,0,0,0,298501,operasional,0,Bayar Listrik & Air
2026-02-05,Bahan Baku (Bogor),,0,0,0,181225,operasional,0,Bayar Bahan Baku (Bogor)
