tanggal,kategori,nama_produk,kuantitas,hpp,pemasukan,pengeluaran,jenis_pengeluaran,jumlah_pelanggan,catatan
2026-01-15,Makanan & Minuman,Ayam Bakar Madu,2,15000,50000,30000,operasional,2,
2026-01-15,Makanan & Minuman,Es Jeruk,6,3000,36000,18000,operasional,6,Beli stok bahan
2026-01-15,Makanan & Minuman,Ayam Bakar Madu,1,15000,25000,15000,operasional,1,
2026-01-16,Makanan & Minuman,Nasi Goreng Spesial,27,10000,540000,270000,operasional,27,
2026-01-16,Retail,Kaus Sablon,8,30000,400000,240000,operasional,7,Beli stok bahan
2026-01-16,Jasa,Reparasi AC,5,20000,750000,100000,operasional,2,
2026-01-17,Makanan & Minuman,Ayam Bakar Madu,2,15000,50000,30000,operasional,2,Cuaca buruk jadi sepi
2026-01-18,Jasa,Reparasi AC,7,20000,1050000,140000,operasional,4,Cuaca buruk jadi sepi
2026-01-18,Makanan & Minuman,Es Teh Manis,28,2000,140000,56000,operasional,28,
2026-01-19,Makanan & Minuman,Es Jeruk,4,3000,24000,12000,operasional,4,Pesanan online membludak
2026-01-20,Makanan & Minuman,Es Teh Manis,23,2000,115000,46000,operasional,23,Ramai pelanggan rombongan
2026-01-20,Jasa,Reparasi AC,3,20000,450000,87686,operasional,3,
2026-01-20,Makanan & Minuman,Ayam Geprek,5,10000,90000,93026,operasional,5,Cuaca mendukung jualan
2026-01-20,Makanan & Minuman,Ayam Bakar Madu,3,15000,75000,45000,operasional,3,Cuaca buruk jadi sepi
2026-01-20,Retail,Kaus Sablon,6,30000,300000,208275,operasional,3,
2026-01-21,Makanan & Minuman,Ayam Geprek,4,10000,72000,66717,operasional,4,Cuaca buruk jadi sepi
2026-01-21,Makanan & Minuman,Ayam Geprek,4,10000,72000,40000,operasional,4,Cuaca buruk jadi sepi
2026-01-21,Makanan & Minuman,Ayam Geprek,8,10000,144000,80000,operasional,8,Ramai pelanggan rombongan
2026-01-21,Jasa,Cuci Motor,7,2000,105000,14000,operasional,2,Ramai pelanggan rombongan
2026-01-21,Makanan & Minuman,Es Jeruk,7,3000,42000,21000,operasional,7,
2026-01-22,Retail,Kaus Sablon,8,30000,400000,240000,operasional,1,
2026-01-22,Jasa,Reparasi AC,7,20000,1050000,140000,operasional,2,Cuaca mendukung jualan
2026-01-22,Makanan & Minuman,Es Jeruk,5,3000,30000,15000,operasional,5,Ramai pelanggan rombongan
2026-01-22,Makanan & Minuman,Nasi Goreng Spesial,24,10000,480000,240000,operasional,24,
2026-01-22,Makanan & Minuman,Es Jeruk,10,3000,60000,30000,operasional,10,
2026-01-22,Jasa,Reparasi AC,7,20000,1050000,189185,operasional,6,
2026-01-22,Makanan & Minuman,Nasi Goreng Spesial,35,10000,700000,392485,operasional,35,Beli stok bahan
2026-01-23,Makanan & Minuman,Ayam Geprek,7,10000,126000,95881,operasional,7,Ramai pelanggan rombongan
2026-01-23,Makanan & Minuman,Nasi Goreng Spesial,20,10000,400000,247739,operasional,20,Pesanan online membludak
2026-01-23,Makanan & Minuman,Nasi Goreng Spesial,32,10000,640000,368349,operasional,32,
